detail_key,article_id,title,author
r0,0Zykv0,my mind | nnn. [BNK48],° B °
r1,1Zqnud,คุณพ่อลูกติดกับภารกิจพิชิตคุณหนู#น้ำหนึ่งเนย,เป็นเศร้า
r2,2Zdyx6,#พี่อ๋องเล่นเบส,Ms.kittenwoman
r3,2Zu192,วาฬเกยตื้น,Bosschooka🍼
r5,6Ze782,Mister Butler & Miss Maid Inc. บริษัทพ่อบ้านและเมดไม่จำกัด,SilWings Of Lion
r6,6Zqg5r,สาวดุ้น,pazjerlisation
r7,6Zqj45,ความอยาก,pazjerlisation
r8,7Zhnc8,วันธรรมดาของฉันและเธอ,jeiscnpe
r9,8Zg2g8,First love - รักไม่ลืม,E7
r10,8Zoapi,🎈The moon - ck/nnn,WritersQ
r11,9Zu4uy,เพราะทุกเพลง มีคนอยู่ในนั้นเสมอ #BNK48,SK
r12,AZcywu,สมปัญ,ลี่น้อย
r14,EZr4ri,ทะเลลิฟท์ ` nnn,` อักษรของฝุ่น .
r15,EZwsxg,แฟน(เมีย)หมอ#อรตาหวาน,Phet
r16,FZanln,#บ้านแห่งสิงโต - NNN,Potter
r17,FZclvj,metropolis #มหานครคนเหงา,dunnowattozoo
r18,GZed0l,nnn' รุ่นพี่...,sriism
r19,GZidi6,ที่สุดเลยเว้ย...แก [SS1],CocoaFreppe
r20,HZn3bb,Close_friend (โมแก้ว),คุณชานันท์
r21,IZll5t,My little sister,CocoaFreppe
r23,KZwayj,สงกรานต์ปีนี้ฉันโดนบอกเลิก #สงกรานต์อ่านฟิน,สีสวาท
r24,LZck0e,U R My moon,Uranut
r25,MZq5qm,•nnn• [น้ำหนึ่งเนย],21xz
r26,MZtlb5,Old World | New Life,Mimikumo
r27,OZnlk3,ONS | #ปัญเจนนิษฐ์ (rewrite),ลูกพี่สั่งมา
r28,PZ631g,Chalaline 's Fanfic ชราไลน์ For You,Ms.kittenwoman
r29,PZq47f,The Destiny - ชะตาลิขิตรัก 💕,E7
r30,QZejf0,เส้นทางของการหวนคืน,E7
r31,QZgvaw,9 o'clock |nnn.,6 o'clock
r32,RZdoen,DAY ONE,thirdfeb
r33,WZavpl,NNN น้ำหนึ่งเนยอิสเรียลลลลลล..........,Táo Fabuloso
r34,WZwgw2,#เธอจากแดนไกล,ObLin
r35,YZs9o5,🎈BETWEEN - เรื่องระหว่างเรา,WritersQ
