detail_key,article_id,title,author
r87,Z1h8wf,Heir of The Real | FreenBecky,Mayaa
r102,Z1lw9n,Bad Love | FreenBecky,Janny
r142,Z25iv1,โลกนอนไม่หลับเพราะคุณ /FreenBecky,GfingerBP
r157,Z2dg2w,Mr. Cameraman | FreenBecky,Mayaa
r163,Z2i7wb,พี่ไม่เล่น,พระจันทร์ค้างแรม
r177,Z2otcy,นัยน์นารินทร์,Mmountain
r179,Z2pcuo,Far or Near [FreenBeck],หนูน้อยหลงทาง
r185,Z2rk4b,(os) เทียนหอม จอมขวัญ | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r188,Z2u3ts,เทียนขวัญ จันทร์เจ้า | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r208,Z3a8a6,Once in blue moon¹ - FreenBecky,purple tulips in the moon
r213,Z3cifl,ยัยน้องที่แปลว่าพี่น้อง..|ฟรีนเบค,N_Poy
r216,Z3e34u,RIP | one shot | ฟรีนเบค,Mmountain
r219,Z3exik,(os)เพลงรักเดือนหนาว|ฟรีนเบค,สเลเชอร์รีน
r220,Z3fe6j,เหมือนเดิม | one shot | ฟรีนเบค,Mmountain
r237,Z3q94l,ถ้าพรุ่งนี้ไม่มีฉัน | ฟรีนเบค,Bacon_SoHot
r257,Z3wa7n,ลี้ลับ ลี้รัก,เรื่องวุ่นๆของวัยรุ่นดองงาน
r260,Z3ysa2,(os) สีเทียน เขียนฝัน | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r271,Z46jgf,(os) สิบสองถึงฟองเบียร์ | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r275,Z49kvi,(os) ดื้อโดนตี | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r282,Z4ecfl,อยู่ทะเล | ฟรีนเบค,ศูนย์สี่หนึ่งสอง
r286,Z4hj7g,Secret of CEO|ฟรีนเบค,U night
r295,Z4lhnw,ฟรีนเบค,คุณโลมา
r297,Z4ltag,หวานเจี๊ยบ,moew
r317,Z4sgrg,เรื่องราวของฉัน และเธอ | ฟรีนเบค,Miminato
r321,Z4tr0k,...,เบ้บบู๋  ปิโย๊ะน้องพุง
r330,Z4ujr5,เพื่อนแฟน,mmmoooyi
r339,Z4wjt6,ความรักของนางฟ้า,~Dr.Meow~
r344,Z4yqpy,แค่...ใกล้เธอ | ฟรีนเบค,Hua Man Muang
r345,Z4ys77,ยัยหนูของพี่ |ฟรีนเบค,Vegas🐯
r354,Z51hoh,บริษัทของฟรีน,เบ้บบู๋  ปิโย๊ะน้องพุง
r358,Z51vkt,Mine;,ชล.
r359,Z521qf,หนูชอบพี่มาก:)[ฟรีนเบค],ไม่เคยแปกก็ไม่เคยปกติ
r376,Z56y8r,จิตมืดมิดไร้แสงสว่าง 🖤🥀,l 95
r385,Z58wb3,เจ๋งให้เหมือนชื่อหน่อยดิ,แซลมอนมันแซ่บหลาย
r390,Z5a0h3,ซูลูปาก้าตาปาเฮ้ วาตานาเบ้ไอโกะ | ฟรีนเบค,ผมมันเด็กกะโปก
r408,Z5e3oi,ยัยน้องจอมซน,NGA FreenBeck
r409,Z5edek,เพราะเราไม่มีวันคู่กัน,ชอบคุณงับ💕
r421,Z5gx5r,เพราะเธอคือ My person,สองเอง
r439,Z5k3f4,ฮอตนักเหรอ | ฟรีนเบค,Miminato
r441,Z5l2np,พี่น้องหรอ | ฟรีนเบค,freen Becky
r444,Z5ldc7,โฮส -ฟรีนเบค-,ทิวลิปในแจกัน
r454,Z5ppkv,จะอายุ 23 ปีแบบนี้ตลอดไปเลยรึไง | freenBecky,JIJIIII
r460,Z5rwcm,พิจารณา||ฟรีนเบค,Tulip __🌷
r461,Z5s5an,รูมเมทของฉัน | ฟรีนเบค,ไร้แสงไฟ
r482,Z5voh8,Black List  -ฟรีนเบค-,ทิวลิปในแจกัน
r492,Z5x9d9,You my | ฟรีนเบค,เจ้าไข่หลุน
r512,Z61huo,แมวน้อย,ncเยอะจัด
r519,Z63rsh,ตัวเล็ก /ฟรีนเบค,Becky
r525,Z64med,ท้องฟ้าสีเทา||ฟรีนเบค,Risso’s
r526,Z64qlg,ขนมผิงไม่อยากเป็นน้อง,Mmountain
r527,Z64uyv,princess  |  ฟรีนเบค,behopeful
r528,Z64xe9,แฟนคลับคนโปรด,ดารินทร์
r536,Z65iss,เบาๆหน่อยค่ะบอท,ต้าวเองงับบบบบบบ
r544,Z66tcu,สารวัตรที่รัก | ฟรีนเบค,ไร้แสงไฟ
r548,Z67ft2,Write for SamxMon. That night | ฟรีนเบค,KhunxBlue
r558,Z68au4,#เก้าพายนับหนึ่ง | ฟรีนเบค,missmyexgf.
r559,Z68hrd,ฆาตกรที่รัก || ฟรีนเบค,ฟรีน/เบคกี้🤏❤
r567,Z69s79,ยัยหนูของพี่|ฟรีนเบค,yyowu
r568,Z69uhw,รับทราบค่ะคุณหนู | ฟรีนเบค,MiAiMo
r576,Z6aj7f,น้องวาอย่าโง่สิคะ,แซลมอนมันแซ่บหลาย
r579,Z6ara9,ตะวันของเอื้องเหนือ| ฟรีนเบค,minmin
r584,Z6b9mn,เสือน้อยกับกวางใหญ่ | ฟรีนเบค,I’m chai
r590,Z6c4k7,ไม่ได้ชอบ..เธอ,จิ้มน้ำจุ่ม
r595,Z6d857,WhiteDaisy | ฟรีนเบค,WithMe
r596,Z6dfcr,♡#ฟรีนเบค,Aquarius ʚìɞ
r599,Z6dlmd,สีนํ้าของเทียน,Lavvie
r604,Z6eet5,r!ch girls † | Freenbeck,LLUMOSS
r605,Z6ehf1,Girl next door 🌷 | FreenBecky,cocoa with mint
r608,Z6euw1,คุณสามคือไอดอล,มนุษย์ดวงดาว
r611,Z6f3wc,ที่ตรงนั้น | ฟรีนเบค,K.chida
r614,Z6firb,รักเธอนะสารวัตรนักเรียน  fb,คุนฮิปโป
r615,Z6floa,Sister Zone ฟรีนเบค,GirlPain
r624,Z6gkw2,ร้ายนักนะคุณหนูมาเฟีย |ฟรีนเบค,HAPPY DAY
r628,Z6h70d,เพื่อน (ไม่) จริง |ฟรีนเบค|,ทีโพล์
