detail_key,article_id,title,author
r22,KZsoms,affection.HER,hopeless.m
r228,Z3mihr,KHO JAO / BonnieEmi,busstation♡
r273,Z48av6,ไปไหนพิ้ง — emibonnie,greenpeople
r435,Z5jaxl,ใครเพื่อนแก | emibonnie,imatchayou
r803,Z6xdck,เจ้าความรัก | emibonnie,Bluebellslove.
r2012,Z91u7c,ศิลปินคนโปรด | EmiBonnie,ช้อกโก้.พิ้ง
r2530,Za03mf,ฝนหลงฤดู — emibonnie,blueue
r2575,Za2dn5,ex-girlfriend | emibonnie,Ruesara
r2583,Za2jot,จ้านเซียงหลงใจ๋ | emibonnie,notinlove
r2817,Zaax0g,เอสอาเทอร์ | Emibonnie,พีพีอาร์
r2976,Zafste,เราขอแอบรักพี่หมอต่อไป -​ emibonnie,ทำๆไปก่อน
r3048,Zahhby,ช่วยทำตัวปกติเหมือนคนอื่นได้มั้ยคะ | emibonnie,ชาเขียวสีเขียว
r3083,Zaicg9,grow up than now - emibonnie,pitah
r3144,Zak1jt,jellyfish | emibonnie,bethedofour
r3283,Zanmrm,ไอ้นี่เนี่ยนะ | EMIBONNIE,EB
r3293,Zansdd,ทีละนิด - emibonnie,9dinine
r3613,Zaxp9i,กลิ่นไอฝน - Emibonnie -,องุ่นไซตามะ
r3887,Zb6rso,just friends /emibonnie,Fah.xi
r3973,Zb90ph,อินเชื่อใจ ’ emibonnie,iproudof u.
r3983,Zb990w,เกลียดเด็กสภา,หลังท้องฟ้าที่สดใส
r4271,Zbihmw,charm(ed) you | emibonnie,SiLenT
r4680,Zbtrj0,ranked match ! | emibonnie,soul.n2
r4936,Zc1n2o,"pretty neighbor , emibonnie",myfrecklesloveu
r5071,Zc4y3d,สิ้นสุดทางรัก|emibonnie,บี๋บอนค้าบเอื้อยยย
r5229,Zca1d7,the girl next door! |emibonnie,nipponbluu
r5593,Zcjtp9,ซ้อไม่เลี้ยงเด็ก-emibonnie,คุณบุรินทร์
r5783,Zcow2x,คู่นี้ฟินเวอร์ |PEEMTHAI|,G.
r5854,Zcqi11,พื้นที่ปลอดแจ๋ม  | emi & bonnie,fungsoop
r5893,Zcru04,เรื่องเล่าของเจ้าหญิง | เอมี่บอนนี่,yisadai
r5904,Zcs4fh,tianmolly | EmiBonnie,m00min
r5973,Zctrdi,ทานตะวันกลางคืน | emibonnie,SiChompoo
r6091,Zcwo0w,เมอร์หน้าเมะ|Emibonnie,Theerax
r6297,Zd3a6g,ไอ้หมา|Emi x Bonnie,natiii★
r6425,Zd6ep7,คุณลูกค้า — emibonnie,imyoursummer
r6456,Zd77qx,chemistry,มิถุนผู้รอกรกฎ
r6467,Zd7jcq,She's next to the room ― bonnieemi,โกโก้ปั่นแก้วกลางหวานศูนย์
r6540,Zd9a3c,forget me (or) not | emibonnie,busstation♡
r6583,Zdac9m,I like golden|emibonnie,kenwingsboi
r6685,Zdcxru,สวนรักใต้แสงตะวัน|EmiBonnie,Any
r6826,Zdgcr9,เอาไงวะไอ้พี่ - emibonnie,inuju
r6852,Zdgxvn,วอนขอดาว | emibonnie,คิตตี้ ้ ้ ♥️🫰🏻
r6859,Zdh1yd,แล้วแต่มาโปรด | emibonnie,goldiedrop
r6907,Zdi179,SUNSHINE | เอมี่บอนนี่,I.am.Pluto:2
r6911,Zdi3ku,Toy | Emibonnie,$us_tain
r6918,Zdibbl,Two| emibonnie,twentyfive_ee
r6945,Zdiusb,one | emibonnie,비우
r6948,Zdiwwg,friend - emibonnie,"ma , rin"
r6953,Zdj0v9,Doctor ? | EB,หกสิบเอ็ด
r6956,Zdj5p5,ให้อภัยสักครั้ง|emibonnie,kenwingsboi
r6979,Zdjort,ชอบหมี่เกี๊ยว | emibonnie,theyc
r7022,Zdkqx4,long time no sei | emibonnie,goldiedrop
r7023,Zdkr02,หมาเด่กกับพี่สาวคนสวย. |เอมี่บอนนี่,URANU.✮⋆˙
r7024,Zdkrdc,หนังสือเล่มเดิม|เอมี่บอนนี่,"맛있고, 꽉 끼고, 뜨거운 머리.🤔"
r7029,Zdkxj0,คู่กัด|เอมี่บอนนี่,ดาวประกาย. 💫🖊️
r7033,Zdl23w,อย่ากวนตีน | emibonnie,ตี๋ติ๋มลูกพถ
r7050,Zdla56,ยัยเย็นชากับไอหมาเด๋ก|เอมี่บอนนี่,พลูโตเเสนสดใส🐣
r7083,Zdm7ah,อย่ามองหาฝุ่นในบ้านของจิตรกร - emibonnie,เพราะโลกหมุนรอบตัวเธอ
r7100,Zdmhi3,she’s mine | emibonnie,tissue dog
r7102,Zdmia9,อิ่มเบเกอรี่ | emibonnie,น่านฝัน
r7107,Zdmnwq,ซ่อนเธอไว้เพลย์ลิสต์ | emibonnie,ZARANA
r7128,Zdn3xj,อดีตรักCEO,เจ้าพูม่า
r7165,Zdnqpm,On Your Plate — emibonnie,cahn
r7186,Zdocub,มิจมั้ย | emibonnie,malueggueggui
r7189,Zdoew3,พลอยชมพู | emibonnie,ไรท์เตอร์แกรมมี่💙🎧
r7205,Zdoqxf,ระยะเผลอ|emibonnie,เหล็มเหล็ม
r7213,Zdp27n,(os) แพลงก์ตอน | emibonnie,ศูนย์สี่หนึ่งสอง
r7215,Zdp5vc,otakutism — bonnieemi,@nothingness
r7226,Zdpdk1,"ถาปัตย์ส่งสาร , emibonnie",ddorthxes
r7238,Zdpq9g,รอ | emibonnie,IAMYOUR🎧
r7239,Zdpqqy,coincidentally | emibonnie,justthink
r7264,Zdqfhy,Whispers of heart | emibonnie,อัญญารินทร์🥀
r7283,Zdqyaw,ผมรู้ว่าคุณเลี้ยงไข้ ผมเลยไม่อยากกินยา - emibonnie,KHUNPradid
r7285,Zdr0i3,คิดถึงคนิ้ง │ emibonnie (rewrite),namesong
r7295,Zdrc7r,คนคุยเก่า//เอมี่บอนนี่,อยากกินสลัด
r7297,Zdrdd1,ประธานนักเรียนที่(รัก),Natnicha
r7311,Zdrsp5,หมาคิมบับ| emibonnie,sawsunset
r7319,Zdrym6,โปรดซักผ้าในวันที่แดดออก,SeulKi
r7331,Zdsbbq,จีบหลิน — emibonnie,iproudof u.
r7342,Zdsh32,First love |bonnieemi,eiei1
r7361,Zdsok2,เปี๊ยก | emibonnie,Merisa
r7364,Zdsrd2,ศัตรู | EMIBONNIE,ณ.ฟ้า🫧
